task_id,device id,cl,graph optimize,analysis_time,onnx compile time,graph opt time,tvm time,max_error,is_success,ori_exe_time_avg,ori_exe_time_std,compile_exe_time_avg,compile_exe_time_std
0,0,tvm,0,0.06131100654602051,37.18435192108154,9.186330556869507,189.3063099384308,0.0,True,2.3800463223457338,0.07727408472794109,2.048150372505188,0.013155388077097431
1,0,tvm,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,0,tvm,0,0.04999709129333496,68.23100256919861,0.27729034423828125,373.79129433631897,1.4349818229675293e-05,True,0.7964496421813965,0.06958027007674464,0.10220945119857788,0.023184456289901012
3,0,tvm,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,0,tvm,0,0.1363227367401123,59.67495584487915,0.8466031551361084,625.7794723510742,2.384185791015625e-06,True,0.7022920203208923,0.09129614109123599,0.07241332530975342,0.010225367941330612
5,0,tvm,0,0.15663695335388184,202.80178213119507,0.7644550800323486,608.5759646892548,3.5762786865234375e-07,True,0.6796115255355835,0.14892096935792964,0.06659469604492188,0.008337319005712367
6,0,tvm,0,0.09160661697387695,80.84510207176208,8.962583541870117,323.40368700027466,0.0,True,1.0552498841285705,0.07598431515061503,0.5158667755126953,0.03459452050089546
7,0,tvm,0,0.060448408126831055,219.2987198829651,49.08670520782471,444.9568724632263,0.0,True,1.4246743822097778,0.10112917491440669,0.800362446308136,0.044474740707352946
8,0,tvm,0,0.13992595672607422,210.1971037387848,0.8454043865203857,745.3892192840576,0.0,True,0.7648336124420166,0.08130835032112745,0.09577721357345581,0.013242157194442642
0,0,onnx,0,0.06131100654602051,37.18435192108154,9.186330556869507,189.3063099384308,0.0,True,1.780007779598236,0.12070921908423943,1.136659128665924,0.08045567909339994
1,0,onnx,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,0,onnx,0,0.04999709129333496,68.23100256919861,0.27729034423828125,373.79129433631897,1.1563301086425781e-05,True,0.4050869798660278,0.060270988168473344,0.16732914209365846,0.023452824937577086
3,0,onnx,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,0,onnx,0,0.1363227367401123,59.67495584487915,0.8466031551361084,625.7794723510742,1.5497207641601562e-06,True,0.5408699989318848,0.056962780043328415,0.045058434009552,0.005571812029833123
5,0,onnx,0,0.15663695335388184,202.80178213119507,0.7644550800323486,608.5759646892548,3.5762786865234375e-07,True,0.45004178524017335,0.1204759025520704,0.036082062721252445,0.010490529963530778
6,0,onnx,0,0.09160661697387695,80.84510207176208,8.962583541870117,323.40368700027466,0.0,True,0.5396892786026001,0.029867767774069427,0.3965873098373413,0.014665572794356882
7,0,onnx,0,0.060448408126831055,219.2987198829651,49.08670520782471,444.9568724632263,0.0,True,0.8686067152023316,0.027051175059548207,0.7542342925071717,0.014221138530935876
8,0,onnx,0,0.13992595672607422,210.1971037387848,0.8454043865203857,745.3892192840576,0.0,True,0.5471321058273315,0.10855852917255059,0.07396181583404542,0.02046481661256586
0,0,tvm,1,0.06131100654602051,37.18435192108154,9.186330556869507,191.53048634529114,0.0,True,2.3668214154243468,0.07283520254387518,2.10052277803421,0.014518660951129792
1,0,tvm,1,0.04231548309326172,56.17443537712097,14.238987445831299,155.83665299415588,5.820766091346741e-10,True,2.0439274883270264,0.08086946758962821,1.0324421501159669,0.1299176436461854
2,0,tvm,1,0.04999709129333496,68.23100256919861,0.27729034423828125,374.61971712112427,1.4349818229675293e-05,True,0.7959718060493469,0.07127838430667417,0.10282143115997315,0.021745389236679853
3,0,tvm,1,0.07916784286499023,94.3525242805481,1.9474687576293945,283.77987122535706,1.895427703857422e-05,True,1.5783866667747497,0.07741864318869728,0.9374616694450378,0.10386868285592689
4,0,tvm,1,0.1363227367401123,59.67495584487915,0.8466031551361084,607.2732691764832,2.384185791015625e-06,True,0.7109246706962585,0.11462951090963727,0.07122488975524903,0.011355902141074114
5,0,tvm,1,0.15663695335388184,202.80178213119507,0.7644550800323486,594.1197459697723,3.5762786865234375e-07,True,0.706632399559021,0.1005970767233948,0.06504698514938355,0.010031565627528017
6,0,tvm,1,0.09160661697387695,80.84510207176208,8.962583541870117,323.92430424690247,0.0,True,1.0554474711418151,0.07505427336927395,0.5048944616317749,0.026040302916888313
7,0,tvm,1,0.060448408126831055,219.2987198829651,49.08670520782471,445.59527587890625,0.0,True,1.4344269371032714,0.08182614875829027,0.7926183271408082,0.04934343626980534
8,0,tvm,1,0.13992595672607422,210.1971037387848,0.8454043865203857,746.9790267944336,0.0,True,0.755589337348938,0.07913985482154035,0.09553329467773437,0.012117435122751508
0,0,onnx,1,0.06131100654602051,37.18435192108154,9.186330556869507,191.53048634529114,0.0,True,1.8134905433654784,0.07798494861628968,1.117144184112549,0.033689270765713035
1,0,onnx,1,0.04231548309326172,56.17443537712097,14.238987445831299,155.83665299415588,3.4924596548080444e-10,True,1.712003343105316,0.0432842426752382,1.4007325673103332,0.014956201647930132
2,0,onnx,1,0.04999709129333496,68.23100256919861,0.27729034423828125,374.61971712112427,1.1563301086425781e-05,True,0.4031132364273071,0.05899881306867592,0.1726711392402649,0.026872058975353687
3,0,onnx,1,0.07916784286499023,94.3525242805481,1.9474687576293945,283.77987122535706,2.5331974029541016e-06,True,1.110359001159668,0.05830099561556076,1.304487555027008,0.0784842125614757
4,0,onnx,1,0.1363227367401123,59.67495584487915,0.8466031551361084,607.2732691764832,1.5497207641601562e-06,True,0.5848486804962159,0.18159510351134803,0.04467620849609375,0.007384562995447331
